,Event Type,Place,Event Start Date,Fatalities,Injured / Infected,Evacuated,Normalized Total Cost (2016)
,Vehicle,,,,,,
,Meteorological - Hydrological:,Mississagi ON,1-May-48,0,0,0,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Southern Ontario,16-Mar-48,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Southern ON,5-Apr-47,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Windsor to Tecumseh ON,17-Jun-46,17,100,0,Unknown
,Tornado,,,,,,
,Meteorological - Hydrological:,Toronto ON,11-Dec-44,21,0,0,Unknown
,Winter Storm,,,,,,
,Transportation accident:,Aldershot ON,10-Sep-43,12,2,0,Unknown
,Rail,,,,,,
,Transportation accident:,Almonte ON,27-Dec-42,36,155,0,Unknown
,Rail,,,,,,
,Meteorological - Hydrological:,Southwestern Ontario,25-Sep-41,0,0,0,Unknown
,Hurricane / Typhoon / Tropical Storm,,,,,,
,Meteorological - Hydrological:,Gogama ON,14-May-41,0,0,0,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Great Lakes: Lake Ontario,1-Jan-40,69,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Rainy River and Dance Township ON,10-Oct-38,17,0,155,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Southern Ontario,26-Apr-37,0,0,4000,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Southern Ontario,13-Jan-37,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Across Canada,5-Jul-36,1180,0,0,Unknown
,Heat Event,,,,,,
,Meteorological - Hydrological:,Southern Ontario,10-Mar-36,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Manitoba to Atlantic Canada,1-Dec-33,15,0,0,Unknown
,Cold Event,,,,,,
,Geological:,Crerar ON,27-Jun-30,8,0,0,Unknown
,Landslide,,,,,,
,Geological:,Capreol ON,26-Jun-30,4,0,0,Unknown
,Landslide,,,,,,
,Meteorological - Hydrological:,Southern Ontario,5-Apr-29,0,0,0,Unknown
,Flood,,,,,,
,Meteorological - Hydrological:,Southern Ontario,18-Jan-29,0,0,0,Unknown
,Flood,,,,,,
,Biological:,Across Canada,1-Mar-27,Unknown,0,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Haileybury ON,30-Sep-22,43,0,11000,Unknown
,Wildfire,,,,,,
,Meteorological - Hydrological:,Southwestern Ontario,17-Mar-20,0,0,0,Unknown
,Flood,,,,,,
,Fire:,Trenton ON,12-Oct-18,0,0,0,Unknown
,Non-Residential,,,,,,
,Biological:,Across Canada,1-Jan-18,50000,2000000,0,Unknown
,Epidemic,,,,,,
,Meteorological - Hydrological:,Cochrane and Matheson ON,29-Jul-16,233,0,8000,Unknown
,Wildfire,,,,,,
,Fire:,Ottawa ON,3-Feb-16,7,0,0,Unknown
,Residential,,,,,,
,Meteorological - Hydrological:,"Lakes Huron, Erie and Ontario",7-Nov-13,270,0,0,Unknown
,Storms and Severe Thunderstorms,,,,,,
,Meteorological - Hydrological:,Eastern Canada,8-Jul-12,3,0,0,Unknown
,Heat Event,,,,,,
,Meteorological - Hydrological:,Cochrane ON,11-Jul-11,73,0,200,Unknown
,Wildfire,,,,,,
,Transportation accident:,Spanish River ON,21-Jan-10,63,20,0,Unknown
,Rail,,,,,,
,Fire:,Toronto ON,19-Apr-04,0,0,0,Unknown
,Non-Residential,,,,,,
,Fire:,Ottawa ON and Hull QC,"April 26, 1900",7,0,15000,Unknown
,Non-Residential,,,,,,
